Asset Name,Provider,Product,Asset_Name,Version_Major,Version_Minor,Description,Creation_Date,Provider_Id,Package Asset ID,Asset_Class,Verb,Content Tier,Content Tier,Content Tier,Content Tier,Content Tier,Content Tier,Metadata_Spec_Version,Provider,Product,Asset_Name,Version_Major,Version_Minor,Description,Creation_Date,Provider_ID,Title Asset ID,Asset_Class,Verb,Type,Title Sort,Subscriber_View_Limit,Title Brief,Title,Episode_Name,Episode_ID,Summary_Long,Summary_Medium,Summary_Short,Rating,MSO_Rating,Advisories,Audience,Closed Captioning,Run Time,Display_Run_Time,Year,Country_of_Origin,Actor,Actor,Actor,Actor,Actor,Actor,Actors Display,Writer_Display,Director,Producers,Studio,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Folder,Season_Premiere,Season_Finale,Show Type,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Genre,Chapter,Box_Office,Propagation_Priority,Billing ID,Start,End,Preview_Period,Home_Video_Window,Display_As_New,Display_As_Last_Chance,Maximum_Viewing_Length,Provider_QA_Contact,Contract_Name,Suggested Price,Distributor_Royalty_Percent,Distributor_Royalty_Minimum,Distributor_Royalty_Flat_Rate,Distributor_Name,Studio_Royalty_Percent,Studio_Royalty_Minimum,Studio_Royalty_Flat_Rate,Studio_Name,Recording Artist,Song Title,Programmer Call Letters,Provider,Product,Asset_Name,Version_Major,Version_Minor,Description,Creation_Date,Provider_Id,Asset_Id,Asset_Class,Verb,Encryption,Type,Audio_Type,Screen_Format,HD Content,Languages,Subtitle_Languages,Dubbed_Languages,Copy_Protection,Viewing_Can_Be_Resumed,Content_FileSize,Content_CheckSum,Bit Rate,Content_Value
VI_pharrell__happy_-402212-134955-P,,,,,,,,,,,,,,,,,,,,,,,,,,,MCTL2000000000402212,,,,,,Pharrell: Happy HD,Pharrell: Happy HD,,,,,Pharrell-Happy,TV-G,,,,N,0:04:09,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,music,,,,,,,,,,,,,,,,,,,80000,5-May-14,4-Jun-14,,,,,,,,,,,,,,,,,,,MusCh,,,,,,,,,,,,,,,,Y,,,,,,,,15000,MCMV2000000000402212_movie.mpg
VI_j_derulo_talk_di-402213-135971-P,,,,,,,,,,,,,,,,,,,,,,,,,,,MCTL2000000000402213,,,,,,J.Derulo:Talk Di HD,J.Derulo:Talk Di HD,,,,,Jason DeRulo-Talk Dirty,TV-14,,,,N,0:03:10,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,music,,,,,,,,,,,,,,,,,,,80000,5-May-14,4-Jun-14,,,,,,,,,,,,,,,,,,,MusCh,,,,,,,,,,,,,,,,Y,,,,,,,,15000,MCMV2000000000402213_movie.mpg
VI_k_perry__dark_hd-402214-136634-P,,,,,,,,,,,,,,,,,,,,,,,,,,,MCTL2000000000402214,,,,,,K.Perry: Dark HD,K.Perry: Dark HD,,,,,Katy Perry-Dark Horse,TV-14,,,,N,0:03:50,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,music,,,,,,,,,,,,,,,,,,,80000,5-May-14,4-Jun-14,,,,,,,,,,,,,,,,,,,MusCh,,,,,,,,,,,,,,,,Y,,,,,,,,15000,MCMV2000000000402214_movie.mpg
VI_chris_brown__loy-402215-136892-P,,,,,,,,,,,,,,,,,,,,,,,,,,,MCTL2000000000402215,,,,,,Chris Brown: Loy HD,Chris Brown: Loy HD,,,,,Chris Brown-Loyal,TV-14,,,,N,0:04:40,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,music,,,,,,,,,,,,,,,,,,,80000,5-May-14,4-Jun-14,,,,,,,,,,,,,,,,,,,MusCh,,,,,,,,,,,,,,,,Y,,,,,,,,15000,MCMV2000000000402215_movie.mpg
VI_k_perry_dark_par-402216-136845-P,,,,,,,,,,,,,,,,,,,,,,,,,,,MCTL2000000000402216,,,,,,K.Perry Dark Par HD,K.Perry Dark Par HD,,,,,Bart Baker-Dark Horse Parody,TV-14,,,,N,0:03:31,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,music,,,,,,,,,,,,,,,,,,,80000,5-May-14,4-Jun-14,,,,,,,,,,,,,,,,,,,MusCh,,,,,,,,,,,,,,,,Y,,,,,,,,15000,MCMV2000000000402216_movie.mpg
TV_bart_baker__hd-402217-136789-P,,,,,,,,,,,,,,,,,,,,,,,,,,,MCTL2000000000402217,,,,,,Bart Baker: HD,Bart Baker: HD,,,,,Parody king Bart Baker is on MC! Fair warning: you may laugh uncontrollably.,TV-14,,,,N,0:24:19,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,music,,,,,,,,,,,,,,,,,,,80000,5-May-14,4-Jun-14,,,,,,,,,,,,,,,,,,,MusCh,,,,,,,,,,,,,,,,Y,,,,,,,,15000,MCMV2000000000402217_movie.mpg
